seller_id,seller_code,first_name,last_name,email,bu_id,bu_name,branch_id,branch_code,hire_date,status,target_volume,seniority
SLR-US-355C8C2A,US001,William,Johnson,william.johnson@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2024-12-26,active,3687061,Junior
SLR-US-0539CC3A,US002,William,Garcia,william.garcia@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2019-04-04,active,2718961,Junior
SLR-US-11D462D7,US003,Patricia,Martin,patricia.martin@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2024-08-16,active,3675376,Junior
SLR-US-652F3CB1,US004,Jennifer,Jones,jennifer.jones@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2016-09-21,active,3533614,Senior
SLR-US-181FC1BB,US005,Michael,Smith,michael.smith@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2018-08-11,active,2411749,Lead
SLR-US-56B3FD61,US006,Michael,Brown,michael.brown@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2016-04-22,active,1347261,Manager
SLR-US-C36C1FE4,US007,Robert,Davis,robert.davis@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2018-11-24,active,3560434,Senior
SLR-US-D1AC813F,US008,William,Garcia,william.garcia@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2023-09-04,active,2739572,Junior
SLR-US-33425CC2,US009,Linda,Williams,linda.williams@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2020-01-14,active,2553622,Senior
SLR-US-87F2948D,US010,Patricia,Miller,patricia.miller@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2022-12-31,active,2342265,Lead
SLR-US-657CCA61,US011,John,Brown,john.brown@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2016-10-22,active,769276,Lead
SLR-US-1D6CA356,US012,Mary,Jones,mary.jones@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2025-04-13,active,2269852,Lead
SLR-US-B6153868,US013,James,Davis,james.davis@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2021-08-03,active,4349128,Senior
SLR-US-FB585151,US014,Robert,Williams,robert.williams@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2023-04-05,active,2704036,Manager
SLR-US-A75C5DF0,US015,Linda,Miller,linda.miller@usbank.com,BU-US-ECE36C,Retail Banking,BR-US-001,US,2021-12-19,active,2339795,Senior
SLR-US-07494388,US001,Jennifer,Davis,jennifer.davis@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2025-01-02,active,895240,Junior
SLR-US-F89C4679,US002,David,Williams,david.williams@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2017-02-21,active,4041334,Junior
SLR-US-DDA2D107,US003,Mary,Miller,mary.miller@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2019-05-06,active,4426287,Lead
SLR-US-5D76CF69,US004,Jennifer,Smith,jennifer.smith@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2018-05-25,active,1460929,Lead
SLR-US-1421EAC5,US005,William,Johnson,william.johnson@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2022-09-25,active,4147075,Senior
SLR-US-3380F09D,US006,Patricia,Smith,patricia.smith@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2017-12-05,active,2709467,Senior
SLR-US-A022FE58,US007,Jennifer,Johnson,jennifer.johnson@usbank.com,BU-US-A6C1BE,Commercial Banking,BR-US-001,US,2019-01-05,active,3003536,Senior
